Domain,Company,Website,Location,Contact,Rating,Review Count,Hourly Rate,Min Project Size,Employee Size

Web Development,MentorMate,https://mentormate.com/,"Minneapolis, MN",+1.612.823.4000,4.71,34 reviews,$50 - $99 / hr,"$50,000+",250 - 999

Web Development,Monterail,https://www.monterail.com/services/web-application-development,"Wrocław, Poland",533600136,4.77,31 reviews,$50 - $99 / hr,"$25,000+",50 - 249

Web Development,The NineHertz,https://theninehertz.com/,"Cincinnati, OH",+13153814100,4.83,73 reviews,< $25 / hr,"$5,000+",50 - 249

Web Development,Netguru,https://www.netguru.com/services/,"Poznań, Poland",442038713389,4.79,40 reviews,$50 - $99 / hr,"$25,000+",250 - 999

Web Development,The Software House,https://tsh.io/,"Gliwice, Poland",+48 12 394 5645,4.84,51 reviews,$50 - $99 / hr,"$10,000+",50 - 249

Web Development,Capital Numbers,https://www.capitalnumbers.com/web-application-development.php,"Kolkata, India",+913367992222,4.86,98 reviews,< $25 / hr,"$10,000+",250 - 999

Web Development,MLSDev,https://mlsdev.com/,"Kyiv, Ukraine",380988864542,4.6,31 reviews,$25 - $49 / hr,"$25,000+",50 - 249

Web Development,BairesDev,https://bairesdev.com/landing/c/web-development/,"San Francisco, CA",1 (408) 478-2739,4.85,40 reviews,$50 - $99 / hr,"$50,000+","1,000 - 9,999"

Web Development,Miquido,https://www.miquido.com/,"Kraków, Poland",+48 536 083 559,4.84,34 reviews,$50 - $99 / hr,"$25,000+",50 - 249

Web Development,Yalantis,https://yalantis.com/,"Dnipropetrovs'k, Ukraine",-,4.79,35 reviews,$25 - $49 / hr,"$25,000+",250 - 999

Web Development,itCraft,https://itcraftapps.com/,"Warszawa, Poland",+1 646 630 9053,4.97,45 reviews,$50 - $99 / hr,"$50,000+",50 - 249

Web Development,OAK'S LAB,https://oakslab.com/,"Prague, Czech Republic",+1 (650) 431-8046,4.93,14 reviews,$50 - $99 / hr,"$25,000+",50 - 249

Web Development,S-PRO,https://s-pro.io/clutch-software-development-company,"Kyiv, Ukraine",+1 888 208 0054,4.91,32 reviews,$25 - $49 / hr,"$25,000+",50 - 249

Web Development,Scopic,https://scopicsoftware.com/,"Rutland, MA",8557175586,4.97,40 reviews,$25 - $49 / hr,"$10,000+",50 - 249

Web Development,Moove It,https://moove-it.com/,"Austin, TX",(512) 949-8991,4.81,21 reviews,$50 - $99 / hr,"$100,000+",50 - 249

Web Development,Geniusee,https://geniusee.com/,"Kyiv, Ukraine",+1 512 394 8852,4.98,28 reviews,$25 - $49 / hr,"$25,000+",50 - 249

Web Development,Enkonix,https://enkonix.com/,"Naarden, Netherlands",+16469804815,4.97,16 reviews,$50 - $99 / hr,"$10,000+",50 - 249

Web Development,Powercode,http://powercode.us/,"Kyiv, Ukraine",+380 68 984 3486,4.75,18 reviews,$25 - $49 / hr,"$25,000+",50 - 249

Web Development,Q agency,http://q.agency/,"Zagreb, Croatia",*385 1 4816 175,4.87,23 reviews,$50 - $99 / hr,"$10,000+",50 - 249

Web Development,Steelkiwi,https://steelkiwi.com/,"Odessa, Ukraine",+1 415-449-8696,4.8,54 reviews,$25 - $49 / hr,"$50,000+",50 - 249

Web Development,Xfive,https://www.xfive.co/service/trusted-development-design-partner/,"Kraków, Poland",+1 (415) 704 1533,4.93,30 reviews,$100 - $149 / hr,"$10,000+",50 - 249

Web Development,Gorilla Logic,https://gorillalogic.com/,"Broomfield, CO",(303) 974-7088,4.84,16 reviews,$50 - $99 / hr,"$250,000+",250 - 999

Web Development,Xmartlabs,https://xmartlabs.com/,"Montevideo, Uruguay",+1 628-400-0142,4.95,22 reviews,$50 - $99 / hr,"$10,000+",50 - 249

Web Development,CodigoDelSur,http://codigodelsur.com/,"Montevideo, Uruguay",0059823378873,4.77,35 reviews,$50 - $99 / hr,"$100,000+",50 - 249

Web Development,simplabs,https://simplabs.com/services/,"München, Germany",+498945213903,4.8,10 reviews,$100 - $149 / hr,"$25,000+",10 - 49

Web Development,Polcode,https://polcode.com/service/web-development/,"Warszawa, Poland",+48 22 188 15 06,4.86,18 reviews,$50 - $99 / hr,"$10,000+",50 - 249

Web Development,Solvd Inc.,https://www.solvd.com/,"Roseville, CA",+1 740-720-0223,5.0,11 reviews,$25 - $49 / hr,"$10,000+",50 - 249

Web Development,Softedge Technologies,http://softedgetech.com/,"Montevideo, Uruguay",0059899229685,4.88,8 reviews,$25 - $49 / hr,"$10,000+",10 - 49

Web Development,eTeam,https://eteam.io/,"San Francisco, CA",+1 (213) 839-8500,4.88,24 reviews,$25 - $49 / hr,"$25,000+",50 - 249

Web Development,Camber Creative,https://www.cmbr.co/,"Orlando, FL",4075880702,4.93,15 reviews,$100 - $149 / hr,"$25,000+",10 - 49

Web Development,Unleashed Technologies,https://www.unleashed-technologies.com/top-ranked-web-development-firm-clutch,"Columbia, MD",4108648980,4.86,39 reviews,$150 - $199 / hr,"$50,000+",10 - 49

Web Development,Urban Insight,https://www.urbaninsight.com/,"Los Angeles, CA",213.792.2000,4.96,23 reviews,$150 - $199 / hr,"$50,000+",10 - 49

Web Development,Binary Studio,https://binary-studio.com/,"L'viv, Ukraine",+3 803 223 164 54,4.93,34 reviews,$25 - $49 / hr,Undisclosed,50 - 249

Web Development,Airdev,https://airdev.co/,"San Francisco, CA",4157047261,4.89,48 reviews,Undisclosed,"$10,000+",50 - 249

Web Development,Icreon,https://www.icreon.com/en/,"New York, NY",2127066021,4.96,12 reviews,$50 - $99 / hr,"$50,000+",250 - 999

Web Development,Light IT,https://light-it.net/,"Zaporizhzhia, Ukraine",+380502288822,4.82,22 reviews,$25 - $49 / hr,"$25,000+",50 - 249

Web Development,Infinum,https://infinum.co/,"New York City, NY",+1 (917) 838-2194,4.81,37 reviews,$50 - $99 / hr,"$25,000+",50 - 249

Web Development,Dashbouquet Development,https://dashbouquet.com/,"Minsk, Belarus",+1 484 423 4474,4.8,22 reviews,$50 - $99 / hr,"$10,000+",50 - 249

